id,Concepto,year,Aprobado,Modificacion,Vigente,Comprometido,Devengado,Pagado,Porcentaje
1,"Ministerio De Comunicaciones, Infraestructura Y Vivienda",2020,1201476485,-101668121,1099808364,"17141666,1","17124481,1",0,"1,50%"
2,"Ministerio De Agricultura, Ganadería Y Alimentación",2020,348007443,0,348007443,0,0,0,"0,00%"
3,Ministerio De Ambiente Y Recursos Naturales,2020,1972773857,100000000,2072773857,"2105724,71","2105724,71",0,"1,00%"
4,Ministerio De Cultura Y Deportes,2020,"120085106,6",0,"120085106,6","52173,29","52173,29",0,"4,00%"
5,Ministerio De Desarrollo Social,2020,1417604676,434771,1418039447,"3946454,11","3946454,11",0,"2,80%"
6,Ministerio De Economía,2020,339780033,1183350,340963383,"1351939,75","1351939,75",0,"4,00%"
7,Ministerio De Educación,2020,1201476485,-101668121,1099808364,"17141666,1","17124481,1",0,"4,00%"
8,Ministerio De Energía Y Minas,2020,348007443,0,348007443,0,0,0,"1,50%"
9,Ministerio De Finanzas Públicas,2020,1972773857,100000000,2072773857,"2105724,71","2105724,71",0,"0,00%"
10,Ministerio De Gobernación,2020,"120085106,6",0,"120085106,6","52173,29","52173,29",0,"1,00%"
11,Ministerio De La Defensa Nacional,2020,1417604676,434771,1418039447,"3946454,11","3946454,11",0,"4,00%"
12,Ministerio De Relaciones Exteriores,2020,339780033,1183350,340963383,"1351939,75","1351939,75",0,"2,80%"
13,Ministerio De Salud Pública Y Asistencia Social,2020,1781856739,0,1781856739,"790444,46","790444,46",0,"4,00%"
14,Ministerio De Trabajo Y Previsión Social,2020,1653728625,0,1653728625,0,0,0,"4,00%"
15,Obligaciones Del Estado A Cargo Del Tesoro,2020,"243482515,6",48500,"243531015,6","2146380,08","2146380,08",0,"0,00%"
16,Presidencia De La República.,2020,4023193177,1500,4023194677,"375432140,7","375432140,7",0,"8,00%"
17,Procuraduría General De La Nación,2020,1758824144,0,1758824144,"1885877,91","1885877,91",0,"9,00%"
18,Secretarías Y Otras Dependencias Del Ejecutivo,2020,2682200000,0,2682200000,0,0,0,"1,10%"
19,Servicios De La Deuda Publica,2020,2682200000,0,2682200000,0,0,0,"0,00%"
20,Total,,25624940400,-50000,25624890400,"429450759,1","429416389,1",0,"52,70%"
