id,Origen,Final,year,Transferencia
1,Servicios Públicos Generales,Servicios Públicos Generales,2020,-101668121
2,Defensa,Defensa,2020,0
3,Orden Público Y Seguridad Ciudadana,Orden Público Y Seguridad Ciudadana,2020,100000000
4,Atención A Desastres Y Gestión De Riesgos,Atención A Desastres Y Gestión De Riesgos,2020,0
5,Asuntos Económicos,Asuntos Económicos,2020,434771
6,Protección Ambiental,Protección Ambiental,2020,1183350
7,Urbanización Y Servicios Comunitarios,Urbanización Y Servicios Comunitarios,2020,0
8,Salud,Salud,2020,0
9,"Actividades Deportivas, Recreativas, Cultura Y Religión","Actividades Deportivas, Recreativas, Cultura Y Religión",2020,48500
10,Educación,Educación,2020,1500
11,Protección Social,Protección Social,2020,0
12,Transacciones De La Deuda Pública,Transacciones De La Deuda Pública,2020,0
