id,Concepto,year,Aprobado,Modificacion,Vigente,Comprometido,Devengado,Pagado,Porcentaje
1,Servicios Públicos Generales,2020,1201476485,-101668121,1099808364,17141666.1,17124481.1,0,0.02 
2,Defensa,2020,348007443,0,348007443,0,0,0,0.00 
3,Orden Público Y Seguridad Ciudadana,2020,1972773857,100000000,2072773857,2105724.71,2105724.71,0,0.01 
4,Atención A Desastres Y Gestión De Riesgos,2020,120085106.6,0,"120085106,6",52173.29,52173.29,0,0.04 
5,Asuntos Económicos,2020,1417604676,434771,1418039447,3946454.11,3946454.11,0,0.03 
6,Protección Ambiental,2020,339780033,1183350,340963383,1351939.75,1351939.75,0,0.04 
7,Urbanización Y Servicios Comunitarios,2020,1781856739,0,1781856739,790444.46,790444.46,0,0.04 
8,Salud,2020,1653728625,0,1653728625,0,0,0,0.00 
9,"Actividades Deportivas, Recreativas, Cultura Y Religión",2020,243482515.6,48500,"243531015,6",2146380.08,2146380.08,0,0.08 
10,Educación,2020,4023193177,1500,4023194677,375432140.7,375432140.7,0,0.09 
11,Protección Social,2020,1758824144,0,1758824144,1885877.91,1885877.91,0,0.01 
12,Transacciones De La Deuda Pública,2020,2682200000,0,2682200000,0,0,0,0.00 
13,Total,,17543012800,0,17543012800,404852801.2,404835616.2,0,0.35 
